"측정일시","지점명","지점코드","SAWS온도(평균)","SAWS습도(평균)","풍향1","풍향2","SAWS풍속(평균)","SAWS누적강수량","SAWS일사량","SAWS일조량"
"2019032709","남산","1151","13.2","65.8","2","북북동","2","0","1.5","0.1"
"2019032709","동대문","1152","13","66.8","7","남동","1.6","0","",""
"2019032709","성북","1153","12.8","65.9","12","서남서","2.5","0","",""
"2019032709","마포","1155","12.4","71.7","8","남남동","1.9","0","",""
"2019032709","구로","1156","12.4","67.8","11","남서","4.1","0","",""
"2019032709","서초","1158","13.8","63","7","남동","1.6","0","1.6","0.6"
"2019032709","강남","1159","12.4","67.9","11","남서","1.6","0","",""
"2019032709","노원","1163","11.4","69.5","4","동북동","0.6","0","0","0"
"2019032709","광진","1164","12.8","70","9","남","1.9","0","",""
"2019032709","강북","1165","12.5","67.1","9","남","2.6","0","",""
"2019032709","송파","1166","13.3","63.9","10","남남서","3.1","0","",""
"2019032709","용산","1167","13","58.9","10","남남서","2.7","0","",""
"2019032709","중구","1170","12.4","64.9","9","남","3","0","",""
"2019032709","은평","1172","11.6","69.9","9","남","2.4","0","0.9","0"
"2019032709","동작","1173","13.2","63.7","11","남서","2.8","0","",""
"2019032709","강동","1175","14.1","50.9","10","남남서","1.3","0","1.8","9.6"